SOC Group,Domain,Keyword Phrase
Construction and Extraction Occupations,Outcomes & Impact,deliverable
Construction and Extraction Occupations,Outcomes & Impact,transformation
Construction and Extraction Occupations,Outcomes & Impact,metric
Construction and Extraction Occupations,Outcomes & Impact,value
Construction and Extraction Occupations,Outcomes & Impact,evidence of change
Construction and Extraction Occupations,Outcomes & Impact,ROI
Construction and Extraction Occupations,Outcomes & Impact,growth
Construction and Extraction Occupations,Outcomes & Impact,effectiveness
Construction and Extraction Occupations,Adaptation & Flexibility,resilience
Construction and Extraction Occupations,Adaptation & Flexibility,agility
Construction and Extraction Occupations,Adaptation & Flexibility,change
Construction and Extraction Occupations,Adaptation & Flexibility,pivot
Construction and Extraction Occupations,Adaptation & Flexibility,adapt
Construction and Extraction Occupations,Adaptation & Flexibility,flexibility
Construction and Extraction Occupations,Adaptation & Flexibility,iteration
Construction and Extraction Occupations,Adaptation & Flexibility,response
Construction and Extraction Occupations,Adaptation & Flexibility,readiness
Construction and Extraction Occupations,Adaptation & Flexibility,navigation
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,AI
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,machine learning
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,automation
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,digital fluency
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,tools
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,algorithms
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,prompting
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,data modeling
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,tech stack
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,interface
"Installation, Maintenance, and Repair Occupations",Systems & Structure,workflow
"Installation, Maintenance, and Repair Occupations",Systems & Structure,process
"Installation, Maintenance, and Repair Occupations",Systems & Structure,infrastructure
"Installation, Maintenance, and Repair Occupations",Systems & Structure,architecture
"Installation, Maintenance, and Repair Occupations",Systems & Structure,governance
"Installation, Maintenance, and Repair Occupations",Systems & Structure,standards
"Installation, Maintenance, and Repair Occupations",Systems & Structure,interoperability
"Installation, Maintenance, and Repair Occupations",Systems & Structure,system design
"Installation, Maintenance, and Repair Occupations",Systems & Structure,platform
"Installation, Maintenance, and Repair Occupations",Systems & Structure,protocol
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,impact
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,result
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,deliverable
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,transformation
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,metric
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,value
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,evidence of change
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,ROI
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,growth
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,effectiveness
Production Occupations,Outcomes & Impact,impact
Production Occupations,Outcomes & Impact,result
Production Occupations,Outcomes & Impact,deliverable
Production Occupations,Outcomes & Impact,transformation
Production Occupations,Outcomes & Impact,metric
Production Occupations,Outcomes & Impact,value
Production Occupations,Outcomes & Impact,evidence of change
Production Occupations,Outcomes & Impact,ROI
Production Occupations,Outcomes & Impact,growth
Production Occupations,Outcomes & Impact,effectiveness
Production Occupations,Systems & Structure,workflow
Production Occupations,Systems & Structure,process
Production Occupations,Systems & Structure,infrastructure
Production Occupations,Systems & Structure,architecture
Production Occupations,Systems & Structure,governance
Production Occupations,Systems & Structure,standards
Production Occupations,Systems & Structure,interoperability
Production Occupations,Systems & Structure,system design
Production Occupations,Systems & Structure,platform
Production Occupations,Systems & Structure,protocol
Transportation and Material Moving Occupations,Adaptation & Flexibility,resilience
Transportation and Material Moving Occupations,Adaptation & Flexibility,agility
Transportation and Material Moving Occupations,Adaptation & Flexibility,change
Transportation and Material Moving Occupations,Adaptation & Flexibility,pivot
Transportation and Material Moving Occupations,Adaptation & Flexibility,adapt
Transportation and Material Moving Occupations,Adaptation & Flexibility,flexibility
Transportation and Material Moving Occupations,Adaptation & Flexibility,iteration
Transportation and Material Moving Occupations,Adaptation & Flexibility,response
Transportation and Material Moving Occupations,Adaptation & Flexibility,readiness
Transportation and Material Moving Occupations,Adaptation & Flexibility,navigation
Transportation and Material Moving Occupations,Systems & Structure,workflow
Transportation and Material Moving Occupations,Systems & Structure,process
Transportation and Material Moving Occupations,Systems & Structure,infrastructure
Transportation and Material Moving Occupations,Systems & Structure,architecture
Transportation and Material Moving Occupations,Systems & Structure,governance
Transportation and Material Moving Occupations,Systems & Structure,standards
Transportation and Material Moving Occupations,Systems & Structure,interoperability
Transportation and Material Moving Occupations,Systems & Structure,system design
Transportation and Material Moving Occupations,Systems & Structure,platform
Transportation and Material Moving Occupations,Systems & Structure,protocol
Community and Social Service Occupations,Equity & Inclusion,equity
Community and Social Service Occupations,Equity & Inclusion,diversity
Community and Social Service Occupations,Equity & Inclusion,inclusion
Community and Social Service Occupations,Equity & Inclusion,access
Community and Social Service Occupations,Equity & Inclusion,justice
Community and Social Service Occupations,Equity & Inclusion,representation
Community and Social Service Occupations,Equity & Inclusion,fairness
Community and Social Service Occupations,Equity & Inclusion,belonging
Community and Social Service Occupations,Equity & Inclusion,accessibility
Community and Social Service Occupations,Equity & Inclusion,anti-bias
Community and Social Service Occupations,Presence & Identity,presence
Community and Social Service Occupations,Presence & Identity,voice
Community and Social Service Occupations,Presence & Identity,visibility
Community and Social Service Occupations,Presence & Identity,identity
Community and Social Service Occupations,Presence & Identity,stance
Community and Social Service Occupations,Presence & Identity,authenticity
Community and Social Service Occupations,Presence & Identity,reputation
Community and Social Service Occupations,Presence & Identity,persona
Community and Social Service Occupations,Presence & Identity,recognition
Community and Social Service Occupations,Presence & Identity,name
Community and Social Service Occupations,Collaboration & Relational Work,teamwork
Community and Social Service Occupations,Collaboration & Relational Work,collaboration
Community and Social Service Occupations,Collaboration & Relational Work,relationship
Community and Social Service Occupations,Collaboration & Relational Work,partnership
Community and Social Service Occupations,Collaboration & Relational Work,network
Community and Social Service Occupations,Collaboration & Relational Work,trust
Community and Social Service Occupations,Collaboration & Relational Work,coordination
Community and Social Service Occupations,Collaboration & Relational Work,shared goals
Community and Social Service Occupations,Collaboration & Relational Work,communication
Community and Social Service Occupations,Collaboration & Relational Work,support
Military Specific Occupations,Leadership & Influence,leadership
Military Specific Occupations,Leadership & Influence,coaching
Military Specific Occupations,Leadership & Influence,influence
Military Specific Occupations,Leadership & Influence,vision
Military Specific Occupations,Leadership & Influence,strategy
Military Specific Occupations,Leadership & Influence,mentorship
Military Specific Occupations,Leadership & Influence,decision-making
Military Specific Occupations,Leadership & Influence,initiative
Military Specific Occupations,Leadership & Influence,credibility
Military Specific Occupations,Leadership & Influence,alignment
Military Specific Occupations,Risk & Compliance,risk
Military Specific Occupations,Risk & Compliance,compliance
Military Specific Occupations,Risk & Compliance,regulation
Military Specific Occupations,Risk & Compliance,audit
Military Specific Occupations,Risk & Compliance,policy
Military Specific Occupations,Risk & Compliance,safety
Military Specific Occupations,Risk & Compliance,liability
Military Specific Occupations,Risk & Compliance,control
Military Specific Occupations,Risk & Compliance,protocol
Military Specific Occupations,Risk & Compliance,ethics
Military Specific Occupations,Adaptation & Flexibility,resilience
Military Specific Occupations,Adaptation & Flexibility,agility
Military Specific Occupations,Adaptation & Flexibility,change
Military Specific Occupations,Adaptation & Flexibility,pivot
Military Specific Occupations,Adaptation & Flexibility,adapt
Military Specific Occupations,Adaptation & Flexibility,flexibility
Military Specific Occupations,Adaptation & Flexibility,iteration
Military Specific Occupations,Adaptation & Flexibility,response
Military Specific Occupations,Adaptation & Flexibility,readiness
Military Specific Occupations,Adaptation & Flexibility,navigation
